time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1935-10-18T14:53:54.000Z,40.302,143.951,15,6.4,mw,,,,,iscgem,iscgem904596,2015-05-13T18:52:43.000Z,"186 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1936-03-02T03:19:05.000Z,41.817,144.422,25,6.7,mw,,,,,iscgem,iscgem903499,2020-07-10T10:37:22.169Z,"128 km S of Kushiro, Japan",earthquake,,,,,automatic,iscgem,iscgem
1936-09-04T08:09:37.000Z,31.269,142.345,15,6.2,mw,,,,,iscgem,iscgem903826,2015-05-13T18:52:44.000Z,"Izu Islands, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1936-11-02T20:45:58.000Z,38.236,142.276,35,7.2,mw,,,,,iscgem,iscgem903917,2020-07-10T10:43:57.266Z,"87 km ESE of Ishinomaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1937-07-14T22:28:15.000Z,32.639,141.885,20,6.3,mw,,,,,iscgem,iscgem903163,2015-05-13T18:52:44.000Z,"Izu Islands, Japan region",earthquake,,,,,automatic,iscgem,iscgem
1937-07-26T19:56:35.000Z,38.343,141.859,35,6.6,mw,,,,,iscgem,iscgem903180,2020-07-10T10:29:47.354Z,"49 km E of Ishinomaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1937-10-17T04:47:03.000Z,35.534,141.255,25,6.5,mw,,,,,iscgem,iscgem903303,2020-07-10T10:32:33.932Z,"44 km ESE of Hasaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-01-11T15:12:01.000Z,33.633,135.208,25,6.5,mw,,,,,iscgem,iscgem902328,2020-07-10T10:15:12.865Z,"18 km SW of Tanabe, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-05-23T07:18:30.000Z,36.517,141.491,15,7.7,mw,,,,,iscgem,iscgem902498,2020-07-10T10:17:08.105Z,"72 km ESE of Takahagi, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-09-21T18:51:58.000Z,36.42,141.381,15,6.5,mw,,,,,iscgem,iscgem902686,2020-07-10T10:20:59.336Z,"67 km ESE of Takahagi, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-10-12T00:34:32.000Z,40.525,144.001,15,6.5,mw,,,,,iscgem,iscgem902712,2015-05-13T18:52:44.000Z,"200 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-05T08:43:24.000Z,36.966,142.09,35,7.8,mw,,,,,iscgem,iscgem902740,2020-07-10T10:22:59.934Z,"107 km E of Iwaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-05T10:50:18.000Z,37.166,142.221,35,7.7,mw,,,,,iscgem,iscgem902741,2020-07-10T10:23:19.106Z,"113 km ESE of Namie, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-06T08:53:55.000Z,37.393,142.303,30,7.7,mw,,,,,iscgem,iscgem902745,2020-07-10T10:23:37.216Z,"115 km E of Namie, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-06T21:38:48.000Z,37.019,142.43,25,7.6,mw,,,,,iscgem,iscgem902752,2020-07-10T10:23:54.838Z,"136 km ESE of Namie, Japan",earthquake,,,,,automatic,iscgem,iscgem
1938-11-07T01:38:25.000Z,37.007,142.364,30,6.5,mw,,,,,iscgem,iscgem902755,2015-05-13T18:52:44.000Z,"131 km E of Iwaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
